eid,title,doi,year,journal,all_countries
2-s2.0-0029793080,Biotech-derived herbicide-resistant crops for third world needs,10.1111/j.1749-6632.1996.tb32500.x,1996,Annals of the New York Academy of Sciences,Egypt; Israel
2-s2.0-0029751550,Transport of a tracer slug in a fractured permeable formation,10.1016/0022-1694(95)02775-0,1996,Journal of Hydrology,Egypt; Germany; Israel
2-s2.0-0029858755,Detection of Wuchereria bancrofti DNA in patients' sputum by the polymerase chain reaction,10.1016/S0035-9203(96)90308-9,1996,Transactions of the Royal Society of Tropical Medicine and Hygiene,Egypt; Israel
2-s2.0-0031176818,Time dependent perturbation theory and tones in cascaded erbium-doped fiber amplifier systems,10.1109/50.596952,1997,Journal of Lightwave Technology,China; Egypt; Israel; United States
2-s2.0-0030824609,The role of vascular endothelial growth factor and interleukins in the pathogenesis of severe ovarian hyperstimulation syndrome,10.1093/humupd/3.3.255,1997,Human Reproduction Update,Egypt; Israel; United States
2-s2.0-0030778481,Cancer patterns in the Middle East: Special report from the Middle East Cancer Society,10.3109/02841869709001327,1997,Acta Oncologica,Egypt; Israel; Palestine
2-s2.0-0030976879,P-glycoprotein substrates and antagonists cluster into two distinct groups,10.1124/mol.51.6.1024,1997,Molecular Pharmacology,Egypt; Israel; United States
2-s2.0-7844245055,Molecular resolution of marine turtle stock composition in fishery bycatch: A case study in the Mediterranean,10.1046/j.1365-294x.1998.00471.x,1998,Molecular Ecology,Egypt; France; Israel; Libya; Switzerland; Tunisia; Turkey
2-s2.0-2342587637,"Effect of oil emulsion sprays on parasitoids of the black parlatoria, Parlatoria ziziphi, in grapefruit",10.1023/A:1009974330554,1998,Biocontrol,Egypt; Israel
2-s2.0-0031941824,Seminal plasma α-glucosidase activity and male infertility,10.1093/humrep/13.3.591,1998,Human Reproduction,Egypt; Israel
2-s2.0-0031682745,Development and laboratory evaluation of a polymerase chain reaction for monitoring Schistosoma mansoni infestation of water,10.4269/ajtmh.1998.59.468,1998,American Journal of Tropical Medicine and Hygiene,Egypt; Israel
2-s2.0-0032440802,A polymerase chain reaction assay for detecting snails infected with Bilharzia parasites (Schistosoma mansoni) from very early prepatency,10.4269/ajtmh.1998.59.872,1998,American Journal of Tropical Medicine and Hygiene,Egypt; Israel
2-s2.0-17144453508,Numerical and analytical solutions of dispersion equation in lossy nonlinear waveguiding system,10.1002/(SICI)1098-2760(19990820)22:4<273::AID-MOP18>3.0.CO;2-2,1999,Microwave and Optical Technology Letters,Egypt; Germany; Israel
2-s2.0-0000792328,Culture specific and crossculturally generalizable implicit leadership theories: Are attributes of charismatic/transformational leadership universally endorsed?,10.1016/S1048-9843(99)00018-1,1999,Leadership Quarterly,Egypt; Iran; Israel; Kuwait; Morocco; Netherlands; Qatar; Turkey
2-s2.0-0033034674,Systematics and distribution of the acanthodactylus pardalis group (lacertidae) in egypt and israel,10.1080/09397140.1999.10637767,1999,Zoology in the Middle East,Czech Republic; Egypt; Israel
2-s2.0-0032874838,Diagnosis of Wuchereria bancrofti infection by the polymerase chain reaction employing patients' sputum,10.1007/s004360050643,1999,Parasitology Research,Egypt; Israel
2-s2.0-0025683477,The carbon- and oxygen-isotope record of the Precambrian-Cambrian boundary interval in China and Iran and their correlation,10.1017/S0016756800014886,1990,Geological Magazine,Iran; Israel; United Kingdom
2-s2.0-0025990228,Nonsteroidal antiinflammatory drugs — differences and similarities,10.1056/NEJM199112053252314,1991,New England Journal of Medicine,Germany; Iran; Israel
2-s2.0-0026907924,Effects of Nd:YAG laser on apical seal of teeth after apicoectomy and retrofill,10.1016/S0099-2399(06)81221-5,1992,Journal of Endodontics,Iran; Israel; United States
2-s2.0-0026949310,Scanning electron microscopic study of the apical dentine surfaces lased with Nd: YAG laser following apicectomy and retrofill,10.1111/j.1365-2591.1992.tb00758.x,1992,International Endodontic Journal,Iran; Israel
2-s2.0-0027512391,Effect of ArF-193 nm excimer laser on human dentinal tubules. A scanning electron microscopic study,10.1016/0030-4220(93)90412-W,1993,Oral Surgery Oral Medicine Oral Pathology,Iran; Israel
2-s2.0-0027614167,Sealing of human dentinal tubules by XeCl 308-nm excimer laser,10.1016/S0099-2399(06)80454-1,1993,Journal of Endodontics,Iran; Israel; United States
2-s2.0-0043039220,The 198-225-nm transition of norbornadiene,10.1021/j100085a007,1994,Journal of Physical Chemistry®,Iran; Israel; United States
2-s2.0-0029280276,"Adapting the Chair, Adapting the User",10.1177/106480469500300207,1995,Ergonomics in Design the Quarterly of Human Factors Applications,Iran; Israel
2-s2.0-0029815988,Structural Diversity in Alkali Metal Phospholidcs: A Kaloccnc-Type Structure,10.1002/anie.199611231,1996,Angewandte Chemie International Edition in English,Germany; Iran; Israel
2-s2.0-6844222861,AFLP variation in wild barley (Hordeum spontaneum c. Koch) with reference to salt tolerance and associated ecogeography,10.1139/g97-046,1997,Genome,Iran; Israel; United Kingdom
2-s2.0-0033337401,Inverse method 3-D reconstruction of localized in vivo fluorescence - application to Sjogren syndrome,10.1109/2944.796313,1999,IEEE Journal on Selected Topics in Quantum Electronics,Iran; Israel; Russian Federation; United States
2-s2.0-0033165559,Laser angioplasty of restenosed coronary stents: Results of a multicenter surveillance trial,10.1016/S0735-1097(99)00167-9,1999,Journal of the American College of Cardiology,Germany; Iran; Israel; Saudi Arabia
2-s2.0-0032651248,Estimation of the maximum admissible level of third harmonic current in 13.8 kV feeders,,1999,International Journal of Power and Energy Systems,Iran; Israel; United States
2-s2.0-0025834216,New natural dibenzocycloheptylamine alkaloids: A possible catabolic route for the colchicine alkaloids,10.1021/np50076a002,1991,Journal of Natural Products,Israel; Jordan
2-s2.0-0010447349,Phenolics from Colchicum decaisnei,10.1016/S0031-9422(00)98257-8,1991,Phytochemistry,Israel; Jordan
2-s2.0-0026471690,Pharmacological screening of (+)‐Multifloramine from Colchicum decaisnei,10.1002/ptr.2650060605,1992,Phytotherapy Research,Israel; Jordan
2-s2.0-0027625951,An approximate analytical solution for the prediction of transient response of the trombe wall,10.1016/0735-1933(93)90068-7,1993,International Communications in Heat and Mass Transfer,Israel; Jordan
2-s2.0-0029900204,Operational problems of an iron supplementation programme for pregnant women: An assessment of UNRWA experience,,1996,Bulletin of the World Health Organization,Israel; Jordan
2-s2.0-0030513346,Dextromethorphan metabolism in Jordanians: Dissociation of dextromethorphan O-demethylation from debrisoquine 4-hydroxylation,10.1007/BF03189731,1996,European Journal of Drug Metabolism and Pharmacokinetics,Israel; Jordan; Palestine; Qatar
2-s2.0-0031587512,"Agricultural sustainability, pesticide exposures, and health risks: Israel, the Palestinian National Authority, and Jordan",10.1111/j.1749-6632.1997.tb56880.x,1997,Annals of the New York Academy of Sciences,Israel; Jordan; Palestine
2-s2.0-0031871738,Soluble adhesion molecules in Behcet's disease,10.1076/ocii.6.2.81.4054,1998,Ocular Immunology and Inflammation,Israel; Jordan; United Kingdom
2-s2.0-0346459299,AC-induced DC voltage in HTS coil,10.1016/S0921-4534(98)00444-4,1998,Physica C Superconductivity and Its Applications,Israel; Jordan
2-s2.0-0031632810,Electronic structure of modulation-doped heterostructures: Electric field effects,10.1006/spmi.1996.0443,1998,Superlattices and Microstructures,Israel; Jordan; Turkey
2-s2.0-0031941291,Spinal injury rehabilitation complicated by psycho-social problems,10.1038/sj.sc.3100643,1998,Spinal Cord,Israel; Jordan
2-s2.0-0032883868,HLA and tumour necrosis factor (TNF) polymorphisms in ocular Behcet's disease,10.1034/j.1399-0039.1999.540307.x,1999,Tissue Antigens,Israel; Jordan; United Kingdom
2-s2.0-0032863259,Factor V Leiden mutation is associated with ocular involvement in Behcet disease,10.1016/S0002-9394(99)00184-1,1999,American Journal of Ophthalmology,Israel; Jordan; United Kingdom
2-s2.0-0032930981,"Substance abuse studies and prevention efforts among Arabs in the 1990s in Israel, Jordan and the Palestinian Authority - A literature review",10.1046/j.1360-0443.1999.9421772.x,1999,Addiction,Israel; Jordan
2-s2.0-7744223936,Anatomy of the Dead Sea transform: Does it reflect continuous changes in plate motion?,10.1130/0091-7613(1999)027<0887:AOTDST>2.3.CO;2,1999,Geology,Israel; Jordan; United States
2-s2.0-0033032247,"Gaucher's disease with valve calcification: Possible role of Gaucher cells, bone matrix proteins and integrins",,1999,Canadian Journal of Cardiology,Canada; Israel; Jordan
2-s2.0-0025636211,Brucella arthritis: A study of 96 cases in Kuwait,10.1136/ard.49.12.994,1990,Annals of the Rheumatic Diseases,Israel; Kuwait
2-s2.0-8244222306,International quality control of phage typing of Staphylococcus aureus,10.1099/00222615-46-6-511,1997,Journal of Medical Microbiology,Israel; Kuwait; Saudi Arabia; United Kingdom
2-s2.0-0030304437,Weakly periodic rings with conditions on commutators,10.1007/BF00052203,1996,Acta Mathematica Hungarica,Israel; Lebanon
2-s2.0-16944362484,Multiple independent molecular etiology for limb-girdle muscular dystrophy type 2A patients from various geographical origins,,1997,American Journal of Human Genetics,France; Israel; Lebanon; Turkey
2-s2.0-0029751517,The geochemistry of cadmium in the phosphate-rich and organic-rich sediments of the Oulad-abdoun and Timahdit basins (Morocco),10.1016/0899-5362(95)00124-7,1996,Journal of African Earth Sciences,France; Israel; Morocco
2-s2.0-0029677628,Sensitivity analysis of flow in multilayered leaky aquifer systems,10.1061/(ASCE)0733-9429(1996)122:1(41),1996,Journal of Hydraulic Engineering,Israel; Morocco
2-s2.0-0030916069,"Heat treatments to decrease chilling injury in tomato fruit. Effects on lipids, pericarp lesions and fungal growth",10.1034/j.1399-3054.1997.1000211.x,1997,Physiologia Plantarum,Israel; Morocco
2-s2.0-0032448319,Treatments to reduce chilling injury in harvested cucumbers,,1998,Advances in Horticultural Science,Israel; Morocco
2-s2.0-0032049877,Stretching a heteropolymer,10.1209/epl/i1998-00558-3,1998,Europhysics Letters,France; Israel; Morocco
2-s2.0-0032852925,"Analysis of immune responses in dogs with canine visceral leishmaniasis before, and after, drug treatment",10.1016/S0165-2427(99)00088-4,1999,Veterinary Immunology and Immunopathology,Israel; Morocco
2-s2.0-0033193856,Immune responses in vaccinated dogs with autoclaved Leishmania major promastigotes,,1999,Veterinary Research,Israel; Morocco
2-s2.0-17144419002,Dependence of diffusion and multifractality at the quantum hall transition on the effective dimension of the sample,10.1103/PhysRevB.60.4466,1999,Physical Review B Condensed Matter and Materials Physics,Israel; Morocco
2-s2.0-0033034309,Adsorption of phenol and its chlorine derivatives on PILCS and organo- PILCS,10.1051/jcp:1999153,1999,Journal De Chimie Physique Et De Physico Chimie Biologique,Israel; Morocco
2-s2.0-0000875261,Spectrophotometric determination of cobalt with di-2-pyridyl ketone benzgylhydrazone,10.1080/00387019108018178,1991,Spectroscopy Letters,Israel; Palestine
2-s2.0-84968140437,Palestinians on the Peace Process,10.2307/2537364,1991,Journal of Palestine Studies,Israel; Palestine; United States
2-s2.0-84963202546,Spectrophotometric determination of uranium in ores using di-2- pyridyl ketone hydrazone derivatives,10.1080/00387019208021533,1992,Spectroscopy Letters,Israel; Palestine
2-s2.0-0026545222,Spectrophotemetric determination of cobalt in aqueous solution using di-2-pyridyl ketone derivatives,10.1016/0003-2670(92)85091-J,1992,Analytica Chimica Acta,Israel; Palestine
2-s2.0-84974904192,Palestinian surnames derived from nicknames,10.1179/nam.1992.40.4.237,1992,Names,Israel; Palestine
2-s2.0-0026511246,Two mutations in the β-globin polyadenylylation signal reveal extended transcripts and new RNA polyadenylylation sites,10.1073/pnas.89.10.4324,1992,Proceedings of the National Academy of Sciences of the United States of America,Israel; Palestine
2-s2.0-0028549063,A sensitive catalytic method for the determination of copper by its catalytic effect on the potassium bromate indigo carmine reaction,10.1080/10739149408001194,1994,Instrumentation Science Technology,Israel; Palestine
2-s2.0-0028862729,"Growth, metal uptake, and uptake distribution of spinach and parsley plants irrigated with copper solutions",10.1080/10934529509376321,1995,Journal of Environmental Science and Health Part A Environmental Science and Engineering and Toxicology,Israel; Palestine
2-s2.0-0029043179,"Effect of irrigation with lead and cadmium on the growth and on the metal uptake of cauliflower, spinach and parsley",10.1080/10934529509376235,1995,Journal of Environmental Science and Health Part A Environmental Science and Engineering and Toxicology,Israel; Palestine
2-s2.0-0030813114,Ternary copper(II) complexes of the anticonvulsant drug valproate with diimines as superoxide dismutase mimics,10.1016/S0162-0134(97)00043-3,1997,Journal of Inorganic Biochemistry,Israel; Palestine
2-s2.0-0030666735,The impact of political violence on moral reasoning in children,10.1016/S0145-2134(97)00065-3,1997,Child Abuse and Neglect,Israel; Palestine; United States
2-s2.0-0030734645,Antimicrobial activity of Micromeria nervosa from the Palestinian area,10.1016/S0378-8741(97)00088-3,1997,Journal of Ethnopharmacology,Israel; Palestine
2-s2.0-0031126987,"Pesticide use, exposure, and risk: A joint Israeli-Palestinian perspective",10.1006/enrs.1997.3717,1997,Environmental Research,Israel; Palestine
2-s2.0-0030773010,Spectrophotometric determination of enzymatically generated hydrogen peroxide using Sol-Gel immobilized horseradish peroxidase,10.1016/S0039-9140(97)00032-5,1997,Talanta,Israel; Palestine
2-s2.0-0000911706,A stepwise open-ended approach to the identification of joint management structures for shared aquifers,10.1080/02508069808686776,1998,Water International,Israel; Palestine
2-s2.0-0031878167,Automatic assessment of cardiac function from short-axis MRI: Procedure and clinical evaluation,10.1016/S0730-725X(98)80019-2,1998,Magnetic Resonance Imaging,Israel; Palestine
2-s2.0-0032948715,Psychological responses in family members after the Hebron massacre,10.1002/(SICI)1520-6394(1999)9:1<27::AID-DA4>3.0.CO;2-W,1999,Depression and Anxiety,Israel; Palestine
2-s2.0-0025370490,Azathioprine in behçet's syndrome,10.1056/NEJM199007193230311,1990,New England Journal of Medicine,Israel; Saudi Arabia; Turkey
2-s2.0-0025242265,Origin and spread of the glucose-6-phosphate dehydrogenase variant (G6PD-Mediterranean) in the Middle East,,1990,American Journal of Human Genetics,Israel; Saudi Arabia; United Kingdom
2-s2.0-0025673872,Phenotypic heterogeneity of spinal muscular atrophy mapping to chromosome 5q11.2-13.3 (SMA 5q),10.1212/wnl.40.12.1831,1990,Neurology,Israel; Saudi Arabia; United States
2-s2.0-0027931590,Receptor mutations and haplotypes in growth hormone receptor deficiency: a global survey and identification of the Ecuadorean E180splice mutation in an oriental Jewish patient,10.1111/j.1651-2227.1994.tb13302.x,1994,Acta Pdiatrica,Israel; Saudi Arabia; United States
2-s2.0-0030591585,Implications for the assay and biological activity of interleukin-4. Results of a WHO international collaborative study,10.1016/0022-1759(96)00069-5,1996,Journal of Immunological Methods,Israel; Saudi Arabia; United Kingdom
2-s2.0-0030591590,Implications for the assay and biological properties of interleukin-3. Results of a WHO international collaborative study,10.1016/0022-1759(96)00068-3,1996,Journal of Immunological Methods,Israel; Saudi Arabia; United Kingdom
2-s2.0-13344295074,"Mutations in subunits of the epithelial sodium channel cause salt wasting with hyperkalaemic acidosis, pseudohypoaldosteronism type 1",10.1038/ng0396-248,1996,Nature Genetics,Israel; Saudi Arabia; United States
2-s2.0-0031582211,Three different GB virus C/hepatitis G virus genotypes. Phylogenetic analysis and a genotyping assay based on restriction fragment length polymorphism,10.1016/S0014-5793(97)00136-1,1997,FEBS Letters,Israel; Japan; Saudi Arabia
2-s2.0-0031251117,Properties of fresh concrete incorporating a high volume of fly ash as partial fine sand replacement,10.1007/bf02524775,1997,Materials and Structures Materiaux Et Constructions,Israel; Saudi Arabia
2-s2.0-14444276037,A multicenter study of recombinant human erythropoietin (epoetin α) in the management of anemia in cancer patients receiving chemotherapy,10.1097/00001813-199711000-00006,1997,Anti Cancer Drugs,Israel; Poland; Saudi Arabia; Turkey; United Arab Emirates
2-s2.0-0346405508,Communications to the Second Annual Congress of the European College of Sport Science,10.1080/026404198366542,1998,Journal of Sports Sciences,Israel; Saudi Arabia; United Kingdom
2-s2.0-0032182735,Reinforcement of cementitious matrices by warp knitted fabrics,10.1007/bf02481536,1998,Materials and Structures Materiaux Et Constructions,Israel; Saudi Arabia
2-s2.0-0002551970,Mechanical properties of structural concrete incorporating a high volume of Class F fly ash as partial fine sand replacement,10.1007/bf02486469,1998,Materials and Structures Materiaux Et Constructions,Israel; Saudi Arabia
2-s2.0-0032184306,Ductility requirements for redistribution of moments in reinforced concrete elements and a possible size effect,10.1007/bf02481534,1998,Materials and Structures Materiaux Et Constructions,Israel; Saudi Arabia
2-s2.0-0032953377,"Candidemia in cancer patients: A prospective, multicenter surveillance study by the invasive fungal infection group (IFIG) of the European organization for research and treatment of cancer (EORTC)",10.1086/514731,1999,Clinical Infectious Diseases,Israel; Saudi Arabia
2-s2.0-0026645236,"Systemic treatment of early breast cancer by hormonal, cytotoxic, or immune therapy: 133 Randomised trials involving 31,000 recurrences and 24,000 deaths among 75,000 women. Part II",10.1097/00006254-199206000-00019,1992,Obstetrical and Gynecological Survey,Israel; Japan; Tunisia
2-s2.0-0028791012,Effects of radiotherapy and surgery in early breast cancer: An overview of the randomized trials,10.1056/NEJM199511303332202,1995,New England Journal of Medicine,Israel; Spain; Tunisia
2-s2.0-0029999129,Maladie des chaînes α,,1996,Hepato Gastro,France; Israel; Tunisia
2-s2.0-0029806829,Ovarian ablation in early breast cancer: Overview of the randomised trials,10.1016/S0140-6736(96)05023-4,1996,Lancet,Israel; Japan; Tunisia
2-s2.0-0030869710,"Mutation profile of all 49 exons of the human myosin VIIA gene, and haplotype analysis, in usher 1B families from diverse origins",10.1086/514899,1997,American Journal of Human Genetics,Israel; Tunisia
2-s2.0-0030697463,Echinococcus granulosus: A seroepidemiological survey in northern Israel using an enzyme-linked immunosorbent assay,10.1016/S0035-9203(97)90011-0,1997,Transactions of the Royal Society of Tropical Medicine and Hygiene,Israel; Tunisia
2-s2.0-0032547564,Polychemotherapy for early breast cancer: An overview of the randomised trials,10.1016/S0140-6736(98)03301-7,1998,Lancet,Israel; Japan; Tunisia
2-s2.0-0032537396,Tamoxifen for early breast cancer: An overview of the randomised trials,10.1016/S0140-6736(97)11423-4,1998,Lancet,Israel; Japan; Tunisia
2-s2.0-37049075241,"The stereoisomers of 1,3-dithiane 1,3-dioxides. Preparation, configuration and some conformational aspects",10.1039/P29900001987,1990,Journal of the Chemical Society Perkin Transactions 2,Israel; Turkey
2-s2.0-0025221935,Intravenous immunoglobulin for neonatal isoimmune thrombocytopenia,10.1007/BF01959488,1990,European Journal of Pediatrics,Israel; Turkey
2-s2.0-0025153146,Activation of electron deficient cycloheptatrienes by tricarbonyliron complexation,10.1016/S0040-4039(00)97154-5,1990,Tetrahedron Letters,Israel; Turkey
2-s2.0-0025748539,p53 mutation in hepatocellular carcinoma after aflatoxin exposure,10.1016/0140-6736(91)92236-U,1991,Lancet,Israel; Turkey; United States
2-s2.0-0025828914,Congenital Lumbar (Grynfelt-Lesshaft) Hernia,10.1055/s-2008-1042471,1991,European Journal of Pediatric Surgery,Israel; Turkey
2-s2.0-0000103433,A review of the Levantine Basin circulation and its variability during 1985-1988,10.1016/0377-0265(91)90027-D,1991,Dynamics of Atmospheres and Oceans,Israel; Turkey
2-s2.0-0026344541,"Idiometric assay, the third way: A noncompetitive immunoassay for small molecules",10.1016/S0002-9378(11)90565-1,1991,American Journal of Obstetrics and Gynecology,Israel; Turkey; United Kingdom
2-s2.0-0025921849,Man-made garbage pollution on the Mediterranean coastline,10.1016/0025-326X(91)90713-3,1991,Marine Pollution Bulletin,Greece; Israel; Turkey
2-s2.0-0000352574,Transition-state switchings for single potential well ionic dissociations,10.1021/j100176a049,1991,Journal of Physical Chemistry,Israel; Turkey
2-s2.0-0026322068,Localization of an ataxia-telangiectasia locus to a 3-cM interval on chromosome 11q23: Linkage analysis of 111 families by an international consortium,,1991,American Journal of Human Genetics,Israel; Turkey; United States
2-s2.0-0026475766,"Dolomitization, time boundaries and unconformities: examples from the dolostone of the Taurus mesozoic sequence, south-central Turkey",10.1016/0037-0738(92)90079-7,1992,Sedimentary Geology,Israel; Turkey
2-s2.0-51249162647,Guide for use of admixtures in concrete,10.1007/BF02472213,1992,Materials and Structures,France; Israel; Turkey
2-s2.0-0027652516,Optical-coordinate transformation methods and optical-interconnection architectures,10.1364/AO.32.005119,1993,Applied Optics,Israel; Turkey
2-s2.0-0027641018,Fourier transforms of fractional order and their optical interpretation,10.1016/0030-4018(93)90359-D,1993,Optics Communications,Israel; Turkey
2-s2.0-0027550173,Multistage optical interconnection architectures with the least possible growth of system size,10.1364/OL.18.000296,1993,Optics Letters,Israel; Turkey
2-s2.0-0027652515,Fractional fourier transforms and their optical implementation: I,10.1364/JOSAA.10.001875,1993,Journal of the Optical Society of America A Optics and Image Science and Vision,Israel; Turkey
2-s2.0-0027740848,Fractional fourier transforms and their optical implementation. ii,10.1364/JOSAA.10.002522,1993,Journal of the Optical Society of America A Optics and Image Science and Vision,Israel; Turkey
2-s2.0-33747722913,Fourier Transforms of Fractional Order and their Optical Interpretation,,1993,Optics Infobase Conference Papers,Israel; Turkey
2-s2.0-0028539945,Chirp filtering in the fractional Fourier domain,10.1364/AO.33.007599,1994,Applied Optics,Germany; Israel; Turkey
2-s2.0-0028546549,Fractional Fourier transform as a tool for analyzing beam propagation and spherical mirror resonators,10.1364/OL.19.001678,1994,Optics Letters,Israel; Turkey
2-s2.0-0028517376,Measurement of the deuteron polarization in a large target,10.1016/0168-9002(94)91197-5,1994,Nuclear Inst and Methods in Physics Research A,Israel; Spain; Turkey
2-s2.0-0028509784,"Graded-index fibers, wigner-distribution functions, and the fractional fourier transform",10.1364/AO.33.006188,1994,Applied Optics,Israel; Turkey
2-s2.0-0028199265,Self Fourier functions and fractional Fourier transforms,10.1016/0030-4018(94)90289-5,1994,Optics Communications,Israel; Turkey
2-s2.0-0028382656,"Convolution, filtering, and multiplexing in fractional fourier domains and their relation to chirp and wavelet transforms",10.1364/JOSAA.11.000547,1994,Journal of the Optical Society of America A Optics and Image Science and Vision,Israel; Turkey
2-s2.0-0002570968,Convolution and Filtering in Fractional Fourier Domains,10.1007/s10043-994-0015-5,1994,Optical Review,Israel; Turkey
2-s2.0-0028567863,Genetic haplotyping of ataxia-telangiectasia families localizes the major gene to an ∼ 850 kb region on chromosome 11q23.1,10.1080/09553009414551861,1994,International Journal of Radiation Biology,Israel; Turkey; United States
2-s2.0-0028991439,Kinetic analysis of light induced proton dissociation and association of bacteriorhodopsin in purple membrane fragments under continuous illumination,10.1016/0376-7388(95)00012-2,1995,Journal of Membrane Science,Israel; Turkey
2-s2.0-0029343915,Compact optical temporal processors,10.1364/AO.34.004113,1995,Applied Optics,Israel; Turkey
2-s2.0-84951384844,Global AIDS Focus,10.1080/09540129550126759,1995,AIDS Care,Israel; Turkey; United Kingdom
2-s2.0-0028913001,Evaluation of a New Rate Adaptive Ventricular Pacemaker Controlled by Double Sensors,10.1111/j.1540-8159.1995.tb02536.x,1995,Pacing and Clinical Electrophysiology,Israel; Turkey
2-s2.0-0000370279,New signal representation based on the fractional fourier transform: Definitions,10.1364/JOSAA.12.002424,1995,Journal of the Optical Society of America A Optics and Image Science and Vision,Israel; Turkey
2-s2.0-0001220585,"Structures, energetics, and reactions of proton-bound hydrazine clusters",10.1021/j100006a021,1995,Journal of Physical Chemistry,Israel; Turkey
2-s2.0-0010889453,Conjugate quasiconvex nonnegative functions,10.1080/02331939508844124,1995,Optimization,Israel; Turkey
2-s2.0-84974450467,Dual problems of quasiconvex maximisation,10.1017/S0004972700013964,1995,Bulletin of the Australian Mathematical Society,Israel; Turkey
2-s2.0-0029292376,Fractional fourier optics,10.1364/JOSAA.12.000743,1995,Journal of the Optical Society of America A Optics and Image Science and Vision,Israel; Turkey
2-s2.0-0029230951,Fractional correlation,10.1364/AO.34.000303,1995,Applied Optics,Israel; Turkey
2-s2.0-0029276221,Fractional Fourier transform: Simulations and experimental results,10.1364/AO.34.001329,1995,Applied Optics,Israel; Turkey
2-s2.0-84975542033,Anamorphic fractional Fourier transform: Optical implementation and applications,10.1364/AO.34.007451,1995,Applied Optics,Israel; Turkey
2-s2.0-0029057336,A single ataxia telangiectasia gene with a product similar to PI-3 kinase,10.1126/science.7792600,1995,Science,Israel; Turkey
2-s2.0-0029014436,Localization of an ataxia-telangiectasia gene to an ∼500-kb interval on chromosome 11q23.1: Linkage analysis of 176 families by an international consortium,,1995,American Journal of Human Genetics,Israel; Turkey; United States
2-s2.0-84887329634,Applications of the fractional fourier transform in optics and signal processing-a review,,1996,Proceedings of SPIE the International Society for Optical Engineering,Israel; Turkey
2-s2.0-0038584838,Every Fourier optical system is equivalent to consecutive fractional-Fourier-domain filtering,10.1364/AO.35.003167,1996,Applied Optics,Israel; Turkey
2-s2.0-0030126889,Synthesis of mutual intensity distributions using the fractional Fourier transform,10.1016/0030-4018(95)00768-7,1996,Optics Communications,Israel; Turkey
2-s2.0-0029866760,Ovarian tumors of low malignant potential: Correlation of DNA index and S-phase fraction with histopathologic grade and clinical outcome,10.1002/(SICI)1097-0142(19960415)77:8<1494::AID-CNCR11>3.0.CO;2-V,1996,Cancer,Israel; Turkey; United States
2-s2.0-13344269672,Predominance of null mutations in ataxia-telangiectasia,10.1093/hmg/5.4.433,1996,Human Molecular Genetics,Israel; Turkey
2-s2.0-13544254688,Large enhancement of deuteron polarization with frequency modulated microwaves,10.1016/0168-9002(95)01376-8,1996,Nuclear Instruments and Methods in Physics Research Section A Accelerators Spectrometers Detectors and Associated Equipment,Israel; Spain; Turkey
2-s2.0-0002308514,Polarisation of valence and non-strange sea quarks in the nucleon from semi-inclusive spin asymmetries,10.1016/0370-2693(95)01584-1,1996,Physics Letters Section B Nuclear Elementary Particle and High Energy Physics,Israel; Spain; Turkey
2-s2.0-0010794415,Within-plant distribution of thrips and their predators: Effects of cotton variety and developmental stage,10.1017/s0007485300039158,1996,Bulletin of Entomological Research,Israel; Turkey
